SEASON,GAME_DATE,GAME_ID,AWAY_TEAM_ABBR,AWAY_TEAM_NAME,HOME_TEAM_ABBR,HOME_TEAM_NAME
2024-25,2024-10-04,0012400001,DEN,Denver Nuggets,,
2024-25,2024-10-04,0012400002,NZB,New Zealand Breakers,UTA,Utah Jazz
2024-25,2024-10-04,0012400003,MIN,Minnesota Timberwolves,LAL,Los Angeles Lakers
2024-25,2024-10-05,0012400004,GSW,Golden State Warriors,LAC,LA Clippers
2024-25,2024-10-06,0012400005,DEN,Denver Nuggets,,
2024-25,2024-10-06,0012400006,NYK,New York Knicks,CHA,Charlotte Hornets
2024-25,2024-10-06,0012400007,WAS,Washington Wizards,,
2024-25,2024-10-06,0012400008,MIL,Milwaukee Bucks,DET,Detroit Pistons
2024-25,2024-10-06,0012400009,PHX,Phoenix Suns,LAL,Los Angeles Lakers
2024-25,2024-10-07,0012400010,ORL,Orlando Magic,NOP,New Orleans Pelicans
2024-25,2024-10-07,0012400011,NZB,New Zealand Breakers,PHI,Philadelphia 76ers
2024-25,2024-10-07,0012400012,MEM,Memphis Grizzlies,DAL,Dallas Mavericks
2024-25,2024-10-07,0012400013,OKC,Oklahoma City Thunder,SAS,San Antonio Spurs
2024-25,2024-10-07,0012400014,HOU,Houston Rockets,UTA,Utah Jazz
2024-25,2024-10-08,0012400015,MIA,Miami Heat,CHA,Charlotte Hornets
2024-25,2024-10-08,0012400016,CHI,Chicago Bulls,CLE,Cleveland Cavaliers
2024-25,2024-10-08,0012400017,PHX,Phoenix Suns,DET,Detroit Pistons
2024-25,2024-10-08,0012400018,IND,Indiana Pacers,ATL,Atlanta Hawks
2024-25,2024-10-08,0012400019,BKN,Brooklyn Nets,LAC,LA Clippers
2024-25,2024-10-09,0012400020,WAS,Washington Wizards,NYK,New York Knicks
2024-25,2024-10-09,0012400021,HOU,Houston Rockets,OKC,Oklahoma City Thunder
2024-25,2024-10-09,0012400022,ORL,Orlando Magic,SAS,San Antonio Spurs
2024-25,2024-10-09,0012400023,GSW,Golden State Warriors,SAC,Sacramento Kings
2024-25,2024-10-10,0012400024,IND,Indiana Pacers,CLE,Cleveland Cavaliers
2024-25,2024-10-10,0012400026,UTA,Utah Jazz,DAL,Dallas Mavericks
2024-25,2024-10-10,0012400027,CHA,Charlotte Hornets,MEM,Memphis Grizzlies
2024-25,2024-10-10,0012400028,LAL,Los Angeles Lakers,MIL,Milwaukee Bucks
2024-25,2024-10-10,0012400029,NZB,New Zealand Breakers,OKC,Oklahoma City Thunder
2024-25,2024-10-11,0012400031,TOR,Toronto Raptors,WAS,Washington Wizards
2024-25,2024-10-11,0012400032,PHI,Philadelphia 76ers,MIN,Minnesota Timberwolves
2024-25,2024-10-11,0012400033,SAC,Sacramento Kings,GSW,Golden State Warriors
2024-25,2024-10-11,0012400034,DET,Detroit Pistons,PHX,Phoenix Suns
2024-25,2024-10-11,0012400035,POR,Portland Trail Blazers,LAC,LA Clippers
2024-25,2024-10-12,0012400036,PHI,Philadelphia 76ers,BOS,Boston Celtics
2024-25,2024-10-12,0012400037,MEM,Memphis Grizzlies,CHI,Chicago Bulls
2024-25,2024-10-12,0012400038,UTA,Utah Jazz,SAS,San Antonio Spurs
2024-25,2024-10-13,0012400039,NOP,New Orleans Pelicans,MIA,Miami Heat
2024-25,2024-10-13,0012400040,MIN,Minnesota Timberwolves,NYK,New York Knicks
2024-25,2024-10-13,0012400041,POR,Portland Trail Blazers,SAC,Sacramento Kings
2024-25,2024-10-13,0012400042,TOR,Toronto Raptors,BOS,Boston Celtics
2024-25,2024-10-13,0012400043,PHX,Phoenix Suns,DEN,Denver Nuggets
2024-25,2024-10-13,0012400044,DET,Detroit Pistons,GSW,Golden State Warriors
2024-25,2024-10-14,0012400045,MEM,Memphis Grizzlies,IND,Indiana Pacers
2024-25,2024-10-14,0012400046,PHI,Philadelphia 76ers,ATL,Atlanta Hawks
2024-25,2024-10-14,0012400047,WAS,Washington Wizards,BKN,Brooklyn Nets
2024-25,2024-10-14,0012400048,CHI,Chicago Bulls,MIL,Milwaukee Bucks
2024-25,2024-10-14,0012400049,DAL,Dallas Mavericks,LAC,LA Clippers
2024-25,2024-10-15,0012400050,BOS,Boston Celtics,TOR,Toronto Raptors
2024-25,2024-10-15,0012400051,SAS,San Antonio Spurs,MIA,Miami Heat
2024-25,2024-10-15,0012400052,CHA,Charlotte Hornets,NYK,New York Knicks
2024-25,2024-10-15,0012400053,NOP,New Orleans Pelicans,HOU,Houston Rockets
2024-25,2024-10-15,0012400054,OKC,Oklahoma City Thunder,DEN,Denver Nuggets
2024-25,2024-10-15,0012400055,SAC,Sacramento Kings,UTA,Utah Jazz
2024-25,2024-10-15,0012400056,GSW,Golden State Warriors,LAL,Los Angeles Lakers
2024-25,2024-10-16,0012400025,ATL,Atlanta Hawks,MIA,Miami Heat
2024-25,2024-10-16,0012400057,CLE,Cleveland Cavaliers,DET,Detroit Pistons
2024-25,2024-10-16,0012400058,BKN,Brooklyn Nets,PHI,Philadelphia 76ers
2024-25,2024-10-16,0012400059,MIN,Minnesota Timberwolves,CHI,Chicago Bulls
2024-25,2024-10-16,0012400060,ULM,Ratiopharm Ulm,POR,Portland Trail Blazers
2024-25,2024-10-17,0012400061,CHA,Charlotte Hornets,IND,Indiana Pacers
2024-25,2024-10-17,0012400062,MIL,Milwaukee Bucks,DAL,Dallas Mavericks
2024-25,2024-10-17,0012400063,SAS,San Antonio Spurs,HOU,Houston Rockets
2024-25,2024-10-17,0012400064,ATL,Atlanta Hawks,OKC,Oklahoma City Thunder
2024-25,2024-10-17,0012400065,LAL,Los Angeles Lakers,PHX,Phoenix Suns
2024-25,2024-10-17,0012400066,SAC,Sacramento Kings,LAC,LA Clippers
2024-25,2024-10-17,0012400072,DEN,Denver Nuggets,MIN,Minnesota Timberwolves
2024-25,2024-10-18,0012400067,PHI,Philadelphia 76ers,ORL,Orlando Magic
2024-25,2024-10-18,0012400068,NYK,New York Knicks,WAS,Washington Wizards
2024-25,2024-10-18,0012400069,TOR,Toronto Raptors,BKN,Brooklyn Nets
2024-25,2024-10-18,0012400070,CLE,Cleveland Cavaliers,CHI,Chicago Bulls
2024-25,2024-10-18,0012400071,MIA,Miami Heat,MEM,Memphis Grizzlies
2024-25,2024-10-18,0012400073,UTA,Utah Jazz,POR,Portland Trail Blazers
2024-25,2024-10-18,0012400074,LAL,Los Angeles Lakers,GSW,Golden State Warriors
2024-25,2024-10-22,0022400061,NYK,New York Knicks,BOS,Boston Celtics
2024-25,2024-10-22,0022400062,MIN,Minnesota Timberwolves,LAL,Los Angeles Lakers
2024-25,2024-10-23,0022400063,IND,Indiana Pacers,DET,Detroit Pistons
2024-25,2024-10-23,0022400064,BKN,Brooklyn Nets,ATL,Atlanta Hawks
2024-25,2024-10-23,0022400065,ORL,Orlando Magic,MIA,Miami Heat
2024-25,2024-10-23,0022400066,MIL,Milwaukee Bucks,PHI,Philadelphia 76ers
2024-25,2024-10-23,0022400067,CLE,Cleveland Cavaliers,TOR,Toronto Raptors
2024-25,2024-10-23,0022400068,CHA,Charlotte Hornets,HOU,Houston Rockets
2024-25,2024-10-23,0022400069,CHI,Chicago Bulls,NOP,New Orleans Pelicans
2024-25,2024-10-23,0022400070,MEM,Memphis Grizzlies,UTA,Utah Jazz
2024-25,2024-10-23,0022400071,PHX,Phoenix Suns,LAC,LA Clippers
2024-25,2024-10-23,0022400072,GSW,Golden State Warriors,POR,Portland Trail Blazers
2024-25,2024-10-24,0022400073,BOS,Boston Celtics,WAS,Washington Wizards
2024-25,2024-10-24,0022400074,SAS,San Antonio Spurs,DAL,Dallas Mavericks
2024-25,2024-10-24,0022400075,OKC,Oklahoma City Thunder,DEN,Denver Nuggets
2024-25,2024-10-24,0022400076,MIN,Minnesota Timberwolves,SAC,Sacramento Kings
2024-25,2024-10-25,0022400077,BKN,Brooklyn Nets,ORL,Orlando Magic
2024-25,2024-10-25,0022400078,PHI,Philadelphia 76ers,TOR,Toronto Raptors
2024-25,2024-10-25,0022400079,CHA,Charlotte Hornets,ATL,Atlanta Hawks
2024-25,2024-10-25,0022400080,DET,Detroit Pistons,CLE,Cleveland Cavaliers
2024-25,2024-10-25,0022400081,IND,Indiana Pacers,NYK,New York Knicks
2024-25,2024-10-25,0022400082,MEM,Memphis Grizzlies,HOU,Houston Rockets
2024-25,2024-10-25,0022400083,CHI,Chicago Bulls,MIL,Milwaukee Bucks
2024-25,2024-10-25,0022400084,GSW,Golden State Warriors,UTA,Utah Jazz
2024-25,2024-10-25,0022400085,PHX,Phoenix Suns,LAL,Los Angeles Lakers
2024-25,2024-10-25,0022400086,NOP,New Orleans Pelicans,POR,Portland Trail Blazers
2024-25,2024-10-26,0022400087,LAC,LA Clippers,DEN,Denver Nuggets
2024-25,2024-10-26,0022400088,MIA,Miami Heat,CHA,Charlotte Hornets
2024-25,2024-10-26,0022400089,BOS,Boston Celtics,DET,Detroit Pistons
2024-25,2024-10-26,0022400090,CLE,Cleveland Cavaliers,WAS,Washington Wizards
2024-25,2024-10-26,0022400091,OKC,Oklahoma City Thunder,CHI,Chicago Bulls
2024-25,2024-10-26,0022400092,ORL,Orlando Magic,MEM,Memphis Grizzlies
2024-25,2024-10-26,0022400093,TOR,Toronto Raptors,MIN,Minnesota Timberwolves
2024-25,2024-10-26,0022400094,HOU,Houston Rockets,SAS,San Antonio Spurs
