SEASON,GAME_DATE,GAME_ID,AWAY_TEAM_ABBR,AWAY_TEAM_NAME,HOME_TEAM_ABBR,HOME_TEAM_NAME
2025-26,2025-10-02,0012500008,NYK,New York Knicks,,
2025-26,2025-10-03,0012500001,PHX,Phoenix Suns,LAL,Los Angeles Lakers
2025-26,2025-10-03,0012500009,MEL,Melbourne United,NOP,New Orleans Pelicans
2025-26,2025-10-04,0012500010,PHI,Philadelphia 76ers,,
2025-26,2025-10-04,0012500011,SEM,South East Melbourne Phoenix,NOP,New Orleans Pelicans
2025-26,2025-10-04,0012500026,HAP,Hapoel Jerusalem B.C.,BKN,Brooklyn Nets
2025-26,2025-10-04,0012500027,ORL,Orlando Magic,MIA,Miami Heat
2025-26,2025-10-04,0012500028,MIN,Minnesota Timberwolves,DEN,Denver Nuggets
2025-26,2025-10-05,0012500029,OKC,Oklahoma City Thunder,CHA,Charlotte Hornets
2025-26,2025-10-05,0012500030,LAL,Los Angeles Lakers,GSW,Golden State Warriors
2025-26,2025-10-06,0012500002,MIL,Milwaukee Bucks,MIA,Miami Heat
2025-26,2025-10-06,0012500014,ATL,Atlanta Hawks,HOU,Houston Rockets
2025-26,2025-10-06,0012500031,DET,Detroit Pistons,MEM,Memphis Grizzlies
2025-26,2025-10-06,0012500032,GUA,Guangzhou Loong-Lions,SAS,San Antonio Spurs
2025-26,2025-10-06,0012500033,OKC,Oklahoma City Thunder,DAL,Dallas Mavericks
2025-26,2025-10-06,0012500034,DEN,Denver Nuggets,TOR,Toronto Raptors
2025-26,2025-10-07,0012500035,CHI,Chicago Bulls,CLE,Cleveland Cavaliers
2025-26,2025-10-07,0012500036,IND,Indiana Pacers,MIN,Minnesota Timberwolves
2025-26,2025-10-08,0012500003,SAS,San Antonio Spurs,MIA,Miami Heat
2025-26,2025-10-08,0012500015,POR,Portland Trail Blazers,GSW,Golden State Warriors
2025-26,2025-10-08,0012500016,TOR,Toronto Raptors,SAC,Sacramento Kings
2025-26,2025-10-08,0012500037,UTA,Utah Jazz,HOU,Houston Rockets
2025-26,2025-10-08,0012500038,BOS,Boston Celtics,MEM,Memphis Grizzlies
2025-26,2025-10-09,0012500039,MIN,Minnesota Timberwolves,NYK,New York Knicks
2025-26,2025-10-09,0012500040,CLE,Cleveland Cavaliers,CHI,Chicago Bulls
2025-26,2025-10-09,0012500041,DET,Detroit Pistons,MIL,Milwaukee Bucks
2025-26,2025-10-09,0012500042,CHA,Charlotte Hornets,OKC,Oklahoma City Thunder
2025-26,2025-10-09,0012500043,GUA,Guangzhou Loong-Lions,LAC,LA Clippers
2025-26,2025-10-10,0012500012,PHX,Phoenix Suns,,
2025-26,2025-10-10,0012500017,SAC,Sacramento Kings,POR,Portland Trail Blazers
2025-26,2025-10-10,0012500044,BOS,Boston Celtics,TOR,Toronto Raptors
2025-26,2025-10-10,0012500045,UTA,Utah Jazz,SAS,San Antonio Spurs
2025-26,2025-10-10,0012500070,ORL,Orlando Magic,PHI,Philadelphia 76ers
2025-26,2025-10-11,0012500018,ATL,Atlanta Hawks,MEM,Memphis Grizzlies
2025-26,2025-10-11,0012500046,OKC,Oklahoma City Thunder,IND,Indiana Pacers
2025-26,2025-10-11,0012500047,CHA,Charlotte Hornets,DAL,Dallas Mavericks
2025-26,2025-10-12,0012500004,GSW,Golden State Warriors,LAL,Los Angeles Lakers
2025-26,2025-10-12,0012500013,BKN,Brooklyn Nets,,
2025-26,2025-10-12,0012500048,TOR,Toronto Raptors,WAS,Washington Wizards
2025-26,2025-10-12,0012500049,MIA,Miami Heat,ORL,Orlando Magic
2025-26,2025-10-12,0012500050,CLE,Cleveland Cavaliers,BOS,Boston Celtics
2025-26,2025-10-12,0012500051,MIL,Milwaukee Bucks,CHI,Chicago Bulls
2025-26,2025-10-12,0012500052,DEN,Denver Nuggets,LAC,LA Clippers
2025-26,2025-10-13,0012500019,MIA,Miami Heat,ATL,Atlanta Hawks
2025-26,2025-10-13,0012500053,SAS,San Antonio Spurs,IND,Indiana Pacers
2025-26,2025-10-13,0012500054,WAS,Washington Wizards,NYK,New York Knicks
2025-26,2025-10-13,0012500055,GUA,Guangzhou Loong-Lions,MIN,Minnesota Timberwolves
2025-26,2025-10-13,0012500056,DAL,Dallas Mavericks,UTA,Utah Jazz
2025-26,2025-10-14,0012500020,HOU,Houston Rockets,NOP,New Orleans Pelicans
2025-26,2025-10-14,0012500021,GSW,Golden State Warriors,POR,Portland Trail Blazers
2025-26,2025-10-14,0012500057,DET,Detroit Pistons,CLE,Cleveland Cavaliers
2025-26,2025-10-14,0012500058,OKC,Oklahoma City Thunder,MIL,Milwaukee Bucks
2025-26,2025-10-14,0012500059,CHI,Chicago Bulls,DEN,Denver Nuggets
2025-26,2025-10-14,0012500060,LAL,Los Angeles Lakers,PHX,Phoenix Suns
2025-26,2025-10-15,0012500005,DAL,Dallas Mavericks,LAL,Los Angeles Lakers
2025-26,2025-10-15,0012500022,LAC,LA Clippers,SAC,Sacramento Kings
2025-26,2025-10-15,0012500061,MEM,Memphis Grizzlies,CHA,Charlotte Hornets
2025-26,2025-10-15,0012500062,TOR,Toronto Raptors,BOS,Boston Celtics
2025-26,2025-10-16,0012500023,NOP,New Orleans Pelicans,ORL,Orlando Magic
2025-26,2025-10-16,0012500024,HOU,Houston Rockets,ATL,Atlanta Hawks
2025-26,2025-10-16,0012500025,POR,Portland Trail Blazers,UTA,Utah Jazz
2025-26,2025-10-16,0012500063,WAS,Washington Wizards,DET,Detroit Pistons
2025-26,2025-10-16,0012500064,MIN,Minnesota Timberwolves,CHI,Chicago Bulls
2025-26,2025-10-17,0012500006,MEM,Memphis Grizzlies,MIA,Miami Heat
2025-26,2025-10-17,0012500007,SAC,Sacramento Kings,LAL,Los Angeles Lakers
2025-26,2025-10-17,0012500065,BKN,Brooklyn Nets,TOR,Toronto Raptors
2025-26,2025-10-17,0012500066,CHA,Charlotte Hornets,NYK,New York Knicks
2025-26,2025-10-17,0012500067,DEN,Denver Nuggets,OKC,Oklahoma City Thunder
2025-26,2025-10-17,0012500068,IND,Indiana Pacers,SAS,San Antonio Spurs
2025-26,2025-10-17,0012500069,LAC,LA Clippers,GSW,Golden State Warriors
2025-26,2025-10-17,0012500071,MIN,Minnesota Timberwolves,PHI,Philadelphia 76ers
2025-26,2025-10-21,0022500001,HOU,Houston Rockets,OKC,Oklahoma City Thunder
2025-26,2025-10-21,0022500002,GSW,Golden State Warriors,LAL,Los Angeles Lakers
2025-26,2025-10-22,0022500003,CLE,Cleveland Cavaliers,NYK,New York Knicks
2025-26,2025-10-22,0022500004,SAS,San Antonio Spurs,DAL,Dallas Mavericks
2025-26,2025-10-22,0022500080,BKN,Brooklyn Nets,CHA,Charlotte Hornets
2025-26,2025-10-22,0022500081,MIA,Miami Heat,ORL,Orlando Magic
2025-26,2025-10-22,0022500082,TOR,Toronto Raptors,ATL,Atlanta Hawks
2025-26,2025-10-22,0022500083,PHI,Philadelphia 76ers,BOS,Boston Celtics
2025-26,2025-10-22,0022500084,DET,Detroit Pistons,CHI,Chicago Bulls
2025-26,2025-10-22,0022500085,NOP,New Orleans Pelicans,MEM,Memphis Grizzlies
2025-26,2025-10-22,0022500086,WAS,Washington Wizards,MIL,Milwaukee Bucks
2025-26,2025-10-22,0022500087,LAC,LA Clippers,UTA,Utah Jazz
2025-26,2025-10-22,0022500088,SAC,Sacramento Kings,PHX,Phoenix Suns
2025-26,2025-10-22,0022500089,MIN,Minnesota Timberwolves,POR,Portland Trail Blazers
2025-26,2025-10-23,0022500005,OKC,Oklahoma City Thunder,IND,Indiana Pacers
2025-26,2025-10-23,0022500006,DEN,Denver Nuggets,GSW,Golden State Warriors
2025-26,2025-10-24,0022500018,BOS,Boston Celtics,NYK,New York Knicks
2025-26,2025-10-24,0022500019,MIN,Minnesota Timberwolves,LAL,Los Angeles Lakers
2025-26,2025-10-24,0022500090,ATL,Atlanta Hawks,ORL,Orlando Magic
2025-26,2025-10-24,0022500091,CLE,Cleveland Cavaliers,BKN,Brooklyn Nets
2025-26,2025-10-24,0022500092,MIL,Milwaukee Bucks,TOR,Toronto Raptors
2025-26,2025-10-24,0022500093,DET,Detroit Pistons,HOU,Houston Rockets
2025-26,2025-10-24,0022500094,MIA,Miami Heat,MEM,Memphis Grizzlies
2025-26,2025-10-24,0022500095,SAS,San Antonio Spurs,NOP,New Orleans Pelicans
2025-26,2025-10-24,0022500096,WAS,Washington Wizards,DAL,Dallas Mavericks
2025-26,2025-10-24,0022500097,GSW,Golden State Warriors,POR,Portland Trail Blazers
2025-26,2025-10-24,0022500098,UTA,Utah Jazz,SAC,Sacramento Kings
2025-26,2025-10-24,0022500099,PHX,Phoenix Suns,LAC,LA Clippers
2025-26,2025-10-25,0022500100,CHI,Chicago Bulls,ORL,Orlando Magic
